# ----------------------------------------
# 1 Master View
# Огляд аудиторії
# 20190301-20190430
# ----------------------------------------

Індекс години,Діапазон дат,Сегмент,Сер. тривалість сеансу
000051,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:36
000051,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:46
000052,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:45
000052,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:32
000052,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:51
000053,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:04:02
000053,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:05:15
000053,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:12
000054,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:09
000054,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:05:02
000054,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:56
000055,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:01
000055,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:45
000055,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:54
000056,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:13
000056,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:16
000056,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:32
000057,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:38
000057,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:04
000057,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:04
000058,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:34
000058,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:05:32
000058,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:46
000059,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:28
000059,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:20
000059,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:42
000060,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:07
000060,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:55
000060,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:24
000061,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:13
000061,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:28
000061,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:00
000062,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:33
000062,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:42
000062,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:07
000063,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:49
000063,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:23
000063,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:48
000064,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:14
000064,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:41
000064,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:29
000065,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:30
000065,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:52
000065,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:07
000066,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:08
000066,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:51
000066,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:43
000067,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:58
000067,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:06:20
000067,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:21
000068,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:36
000068,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:55
000068,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:00
000069,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:29
000069,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:32
000069,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:46
000070,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:08
000070,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:09
000070,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:29
000071,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:00:57
000071,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:08
000071,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:39
000072,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:04:33
000072,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:22
000072,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:08
000073,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:37
000073,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:42
000073,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:48
000074,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:33
000074,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:34
000074,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:45
000075,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:20
000075,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:00:49
000075,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:04:45
000076,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:13
000076,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:32
000076,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:12
